fileId,fileUrls from query MOD09GQ--6 2000-03-31 2001-03-31 2002-03-31 2003-03-31 2004-03-31 2005-03-31 2006-03-31 2007-03-31 2008-03-31 2009-03-31 2010-03-31 2011-03-31 2012-03-31 2013-03-31 2014-03-31 2015-03-31 2016-03-31 2017-03-31 2018-03-31 x-130.44y40.06 x-92.40y30.05[5],size
1550399890,/archive/allData/6/MOD09GQ/2000/091/MOD09GQ.A2000091.h08v05.006.2015135231837.hdf,85679396
1550408537,/archive/allData/6/MOD09GQ/2000/091/MOD09GQ.A2000091.h09v05.006.2015135232843.hdf,76075910
1570661765,/archive/allData/6/MOD09GQ/2001/090/MOD09GQ.A2001090.h08v05.006.2015142135602.hdf,78257456
1570663267,/archive/allData/6/MOD09GQ/2001/090/MOD09GQ.A2001090.h09v05.006.2015142135946.hdf,83396444
1596737187,/archive/allData/6/MOD09GQ/2002/090/MOD09GQ.A2002090.h08v05.006.2015147013201.hdf,84501769
1596741243,/archive/allData/6/MOD09GQ/2002/090/MOD09GQ.A2002090.h09v05.006.2015147013131.hdf,76729668
1650541030,/archive/allData/6/MOD09GQ/2003/090/MOD09GQ.A2003090.h08v05.006.2015155180407.hdf,79036072
1650547203,/archive/allData/6/MOD09GQ/2003/090/MOD09GQ.A2003090.h09v05.006.2015155180345.hdf,81248904
1697508503,/archive/allData/6/MOD09GQ/2004/091/MOD09GQ.A2004091.h08v05.006.2015088000832.hdf,78688239
1697508700,/archive/allData/6/MOD09GQ/2004/091/MOD09GQ.A2004091.h09v05.006.2015088000748.hdf,82054167
1742479045,/archive/allData/6/MOD09GQ/2005/090/MOD09GQ.A2005090.h08v05.006.2015102011619.hdf,87450250
1742481120,/archive/allData/6/MOD09GQ/2005/090/MOD09GQ.A2005090.h09v05.006.2015102011513.hdf,73820978
1786700925,/archive/allData/6/MOD09GQ/2006/090/MOD09GQ.A2006090.h08v05.006.2015114225114.hdf,84900073
1786701924,/archive/allData/6/MOD09GQ/2006/090/MOD09GQ.A2006090.h09v05.006.2015114225147.hdf,80280807
1835060436,/archive/allData/6/MOD09GQ/2007/090/MOD09GQ.A2007090.h08v05.006.2015129021955.hdf,77856136
1835135436,/archive/allData/6/MOD09GQ/2007/090/MOD09GQ.A2007090.h09v05.006.2015129015827.hdf,82353070
1902806526,/archive/allData/6/MOD09GQ/2008/091/MOD09GQ.A2008091.h08v05.006.2015172201115.hdf,79656271
1902819326,/archive/allData/6/MOD09GQ/2008/091/MOD09GQ.A2008091.h09v05.006.2015172200544.hdf,82977743
1950770638,/archive/allData/6/MOD09GQ/2009/090/MOD09GQ.A2009090.h08v05.006.2015188050209.hdf,81598724
1950770847,/archive/allData/6/MOD09GQ/2009/090/MOD09GQ.A2009090.h09v05.006.2015188050105.hdf,77696870
1996998166,/archive/allData/6/MOD09GQ/2010/090/MOD09GQ.A2010090.h08v05.006.2015205234551.hdf,81445795
1997017551,/archive/allData/6/MOD09GQ/2010/090/MOD09GQ.A2010090.h09v05.006.2015205234332.hdf,80638123
2041430916,/archive/allData/6/MOD09GQ/2011/090/MOD09GQ.A2011090.h08v05.006.2015217044055.hdf,76315429
2041436032,/archive/allData/6/MOD09GQ/2011/090/MOD09GQ.A2011090.h09v05.006.2015217043920.hdf,82175360
2097654202,/archive/allData/6/MOD09GQ/2012/091/MOD09GQ.A2012091.h08v05.006.2015239215212.hdf,78973685
2097680775,/archive/allData/6/MOD09GQ/2012/091/MOD09GQ.A2012091.h09v05.006.2015239214412.hdf,83458665
2149267753,/archive/allData/6/MOD09GQ/2013/090/MOD09GQ.A2013090.h08v05.006.2015257015116.hdf,84958831
2149284419,/archive/allData/6/MOD09GQ/2013/090/MOD09GQ.A2013090.h09v05.006.2015257015356.hdf,79723615
2201777322,/archive/allData/6/MOD09GQ/2014/090/MOD09GQ.A2014090.h08v05.006.2015276123253.hdf,83766317
2201789704,/archive/allData/6/MOD09GQ/2014/090/MOD09GQ.A2014090.h09v05.006.2015276123127.hdf,77879971
2254843404,/archive/allData/6/MOD09GQ/2015/090/MOD09GQ.A2015090.h08v05.006.2015298045634.hdf,81325056
2254874258,/archive/allData/6/MOD09GQ/2015/090/MOD09GQ.A2015090.h09v05.006.2015298045441.hdf,78703644
2435003107,/archive/allData/6/MOD09GQ/2016/091/MOD09GQ.A2016091.h08v05.006.2016104142215.hdf,83772750
2435011529,/archive/allData/6/MOD09GQ/2016/091/MOD09GQ.A2016091.h09v05.006.2016104141610.hdf,78147506
2642818838,/archive/allData/6/MOD09GQ/2017/090/MOD09GQ.A2017090.h08v05.006.2017092213051.hdf,84924838
2642823174,/archive/allData/6/MOD09GQ/2017/090/MOD09GQ.A2017090.h09v05.006.2017092213439.hdf,78205495
